tweet_id,text,author_id,created_at,place_id,like_count,quote_count,reply_count,retweet_count,conversation_id,in_reply_to_user_id
1223409384874815489,Now that Brexit is over - on to more important things. #SuperBowl and who’s going to win... oh... yeah right... 🥱 😒 https://t.co/jNfWdmDkuI,544598687,2020-02-01T00:55:01.000Z,315906f3f5b4dffe,1,0,0,0,1223409384874815489,N/A
1223402503406018562,"The song that started it all for @bretteldredge #bretteldredge 

‘Raymond’ here in Cambridge U.K. 🇬🇧
Credit Nikki Averkiou 

#countrymusic #nashville #superbowl https://t.co/blue8v1LMk",3350839047,2020-02-01T00:27:41.000Z,270d5493b011999e,19,2,3,2,1223402503406018562,N/A
1223398249043722240,"Looking for #SuperBash, tickets at the #O2 @indigoatTheO2 any one help? #IndigoAtTheO2 #SuperBowl #SuperBowl2020 #London #Help #ThankYou",40760199,2020-02-01T00:10:46.000Z,431fe87ebf8a9e21,0,0,1,0,1223398249043722240,N/A
1223396919151661056,Super bowl in Sunday,104464603,2020-02-01T00:05:29.000Z,1f592b82aea688ff,0,0,0,0,1223396919151661056,N/A
1223396218321063937,Let’s go Chiefs! Excited yet nervous for Sunday #superbowl #kansascitychiefs #americanfootball #nfl @ Aqueduct Telford https://t.co/6GbK4CXtH2,83728600,2020-02-01T00:02:42.000Z,16b97ae1ebc451e0,0,0,0,0,1223396218321063937,N/A
1223423006283829255,@FlexEddie3 It's bcoz it's super bowl weekend. Honestly,343019994,2020-02-01T01:49:09.000Z,791e00bcadc4615f,1,0,0,0,1223421654510047232,2508706429
1223416772986048513,"Unless Pedigree have a large advertising slot during the Superbowl and this is a long con promotional campaign, ENOUGH WITH THE FUCKING DOG FOOD. https://t.co/0mzJb0rLDg",2382891440,2020-02-01T01:24:23.000Z,759dfe79a02eb78a,0,0,1,0,1223416772986048513,N/A
1223415821894066176,This man is in the Super Bowl and yet. So so so so desperate for more:👀👀👀 https://t.co/e7wbyjwDca,103719850,2020-02-01T01:20:36.000Z,52bb236ce4bb9be1,0,0,0,0,1223415821894066176,N/A
1223411774684303360,Looking forward to Super Bowl Sunday! Supporting my dad's team Kansas City Chiefs... Go Chiefs. #SuperBowl #SBLIV #GoChiefs #SFvKC #ChiefsKingdom #KansasCityChiefs #SanFrancisco49ers #49ers #49ersfaithful https://t.co/DkEt52K2NF,465816820,2020-02-01T01:04:31.000Z,01cf9c6409a7f7a0,0,0,0,0,1223411774684303360,N/A
1223435286266380288,"Jennifer Lopez Gets Emotional While Remembering Kobe Bryant At Super Bow... https://t.co/4qFHTQiuLu via @YouTube
#SuperBowlHalftimeShowLIV
#MirrorReflection
#CountDown
Album:JT The 2020 Experience
Song:Mirrors
Released: 15th March 2013
SuperBowl 54 LIV: Sunday 2nd February2020 https://t.co/dHoBjxI94m",237292164,2020-02-01T02:37:57.000Z,315b740b108481f6,0,0,0,0,1223435286266380288,N/A
1223425994046001152,"Justin Timberlake - Mirrors (Official Song HQ) https://t.co/DYosR0MtZ9 via @YouTube
#SuperBowlHalftimeShowLIV
#MirrorReflection
#CountDown

Album:JT The 2020 Experience
Song:Mirrors
Released: 15th March 2013
SuperBowl 54 LIV: Sunday 2nd February2020 02022020

WhataLONGWeight4me! https://t.co/6MjQ27Sjxn",237292164,2020-02-01T02:01:01.000Z,315b740b108481f6,0,0,0,0,1223425994046001152,N/A
1223502284669190144,In honor of Super Bowl Eve I present to you the Double fisting pizza girl 😂😂🍕 https://t.co/zv2RmOO46j,1203828567722860544,2020-02-01T07:04:10.000Z,457b4814b4240d87,3,0,0,0,1223502284669190144,N/A
1223527552406425600,"@mmberry_ Thank you for your measured review, this helps with my SUPERBOWL preparations and the buying of refreshments.",272901142,2020-02-01T08:44:35.000Z,62a2a7f86cd9a5b4,1,0,1,0,1223354439572082688,43124460
1223521974787497984,#humantrafficking #superbowl the race to stop human trafficking starts with you #london🇬🇧 @ Tottenham Hale https://t.co/4aFTcnb6Z4,547201637,2020-02-01T08:22:25.000Z,06b9691f34c91d1c,0,0,0,0,1223521974787497984,N/A
1223545496100331520,"Where’s the best place I can watch the super bowl 🏈 in Santa Monica? Must have beer, and must have wings - go...",151126971,2020-02-01T09:55:53.000Z,42d0cf7d49d27c95,2,0,0,0,1223545496100331520,N/A
1223544655741997056,https://t.co/cGbkkwFHAS Pitbull may join Jennifer Lopez and Shakira’s Super Bowl half-time show - #pitbull @pitbull https://t.co/K4BS6iICHa https://t.co/XIiGC92chM,27847155,2020-02-01T09:52:32.000Z,06b9691f34c91d1c,7,0,0,4,1223544655741997056,N/A
1223541506478243840,https://t.co/cGbkkwFHAS Harry Styles' pre-Super Bowl concert evacuated due to severe weather - #BuyTickets #harrystyles @harry_styles #onedirectionmusic @onedirection #onedirection https://t.co/mDgNfuB8aS https://t.co/8rY2Vd5kSN,27847155,2020-02-01T09:40:02.000Z,06b9691f34c91d1c,2,0,0,4,1223541506478243840,N/A
1223541170736902144,"SUNDAY: Will The @Chiefs  or the @49ers take home the #Superbowl54 title? We're watching it all go down this weekend 🙌

Get tickets here ⬇️
https://t.co/f4RYOKOrRW https://t.co/R9o0KZR3cc",3092469125,2020-02-01T09:38:42.000Z,7f55e839e1715da2,4,0,1,1,1223541170736902144,N/A
1223553781650030592,So @SkyBet where have the super bowl halftime show bets gone?,68683916,2020-02-01T10:28:48.000Z,48b7b2f64e2db9b0,0,0,2,0,1223553781650030592,N/A
1223575847673761792,Tried to fuck my sleeping pattern up ready for working superbowl tomorrow night/ Monday morning and nope. Went to sleep at 5.30 with everything intention of not being awake until 12 and I woke up at 10.30 refreshed and ready to go,124866396,2020-02-01T11:56:29.000Z,232d6454d6094e9b,1,0,1,0,1223575847673761792,N/A
1223571990575042562,"@Stuey_UK How many times you been asked by workmates friends and family, this week, since the Super Bowl ads started, “you watching the Super Bowl on Sunday?” 
I’m like 🤷🏻‍♂️ whatchoo think 😂😂😂",1461509329,2020-02-01T11:41:10.000Z,4d9ad36e405769a3,1,0,0,0,1223567757263937536,51850252
