,tweet_id,text,author_id,created_at,place_id,like_count,quote_count,reply_count,retweet_count,conversation_id,in_reply_to_user_id,Num_words_text
0,1357118696838361101,every covid weekend sixnationsrugby welshrugbyunion sixnationsrugby superbowl nfluk superbowl,25555921,2021-02-04T00:08:06.000Z,68f3012fe4848e35,0,0,0,0,1357118696838361101,,13
1,1357216140750184448,always youtube version tallboyradio podcast drops audio version week features stars tandsshow talking football superbowl podcastlife podernfamily,1226989798222630913,2021-02-04T06:35:18.000Z,7a6fb7508ad50ef3,3,0,0,2,1357216140750184448,,20
2,1357233799885684737,primordialradio morning mooserocks think prthornado might ones want bucs superbowl,102737368,2021-02-04T07:45:28.000Z,7a6fb7508ad50ef3,0,0,2,0,1357233799885684737,8.209972076503409e+17,11
3,1357227704471412736,weareimagen shared linkedin rewatching wireit’s good reason share super bowl,145608374,2021-02-04T07:21:15.000Z,69027b204b9c5c9b,0,0,0,0,1357227704471412736,,15
4,1357265717138186241,weekend sport fans sixnationsrugby superbowl much loved wastemanagement tpcscottsdale know sunday night,97005494,2021-02-04T09:52:18.000Z,3bc1b6cfd27ef7f6,6,0,2,0,1357265717138186241,,15
5,1357261439174639618,people including patrick mahomes line haircut ahead super bowl sunday espn sourcesso going well,3188310741,2021-02-04T09:35:18.000Z,6ca159c6ba6677d3,0,0,0,0,1357261439174639618,,14
6,1357295348423684098,tampa looks forward superbowl windfall despite covid19 crunch,115123902,2021-02-04T11:50:03.000Z,457b4814b4240d87,0,0,0,1,1357295348423684098,,8
7,1357293761081069568,days super bowl theweeknd,1643215916,2021-02-04T11:43:44.000Z,4caac408027bf2e3,0,0,0,0,1357293761081069568,,4
8,1357288105095688192,ways feel loveinchester peaksandwiches return wknd operagrill hosting classic cocktail evenings home vinsantoch online shop open chalkcoffeeco running club supporting mindcharity burgershed41 super bowl boxes,2151254863,2021-02-04T11:21:16.000Z,70392b0b6ad1f95b,18,0,0,11,1357288105095688192,,27
9,1357308889230938115,hangfirebbq super bowl collection order cost matt,379950051,2021-02-04T12:43:51.000Z,68f3012fe4848e35,1,0,0,0,1357308889230938115,1102235304.0,8
10,1357305245748125700,nations starts weekend barnsley take derby championship game australian open tennis sunday night superbowl well come chiefs gonna weekend sport dont forget beers,1525400876,2021-02-04T12:29:22.000Z,0fc382c02a155001,3,0,0,0,1357305245748125700,,25
11,1357304196031250434,gridiron arrived time sunday superbowl,19646114,2021-02-04T12:25:12.000Z,49fcf9322cd96b9b,8,0,0,1,1357304196031250434,1637835336.0,5
12,1357300941389770753,american america super bowl would’ve awesome i’ll still enjoy manchester sblv,241347885,2021-02-04T12:12:16.000Z,5f6514b0d7b1bc4c,0,0,0,0,1357300941389770753,,14
13,1357321350386384901,think shakira’s super bowl performance might favourite it’s,204477220,2021-02-04T13:33:22.000Z,16a7928fc7d1075a,7,0,2,0,1357321350386384901,,9
